bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
MSCI EM CR 50% + KIS Bond Index 01Y 50%,MSCI EM CR 50% + KIS채권종합01Y 50%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래Emerging_1혼재C2,,MIRAEASSET Flexible Emerging FUND NO.1(EQUITY HYBRID-FoFs)C2,미래에셋Flexible Emerging증권투자신탁1호(주식혼합-재간접형)C2,KR510909056M,00000000000000000000,KRZ501725714,532984,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910532980,판매완료,KR5301A65380,Y,00020027,,,,False,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,N,000,국내,4.13,0.15,0.59,1.31,414359643580.0000,10,0.06,2.39,6.06,10.27,15.29,0,0010189C2163,0,배당,한화내일받는단기국공채자(채권)CRPe,,한화내일받는단기국공채증권자투자신탁(채권) 종류C-RPe,한화내일받는단기국공채증권자투자신탁(채권) 종류C-RPe,KR5129420025,11111A12060013221266,KRZ50122199C,0162010,0,채권형,00040027,국내,해당없음,00,해당없음,공모,030220162010,판매중,K55213BU7399,Y,00020054,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
KOSPI200 50% + KIS Bond Index 01Y 50%,KOSPI200 50% + KIS채권종합01Y 50%,KRW,N,000,글로벌,,,,,,20,,,,,,0,000000000000,0,배당,미래목돈목표6채권C,,미래에셋목돈관리목표전환형증권자투자신탁6호(채권) 종류C,미래에셋목돈관리목표전환형증권자투자신탁6호(채권) 종류C,KR510903076M,00000000000000000000,KRZ501681873,512863,0,채권형,00080008,국내외혼합,해당없음,00,해당없음,공모,031910512860,판매완료,KR5301A03670,Y,00020088,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,225.31,-4.58,41.05,92.89,318202224402.0000,10,5.63,196.17,189.76,199.84,,0,0010182C1754,0,배당,키움차세대모빌리티증권자1[주식]A1,,키움차세대모빌리티증권자투자신탁제1호[주식] CLASS A1,키움차세대모빌리티증권자투자신탁제1호[주식] Class A1,KR5185450040,12113212001011511111,KRZ501701341,0002312,0,주식형,00080052,국내,해당없음,00,해당없음,공모,030270002312,판매중,KR5206A31656,Y,00020004,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,N,000,글로벌,41.55,0.83,25.72,19.21,137587432336.0000,10,-0.61,50.29,70.07,139.23,,0,0010198C5244,0,배당,KB글로벌AI메타버스증권자투자(주식)(UH)CPe,,KB글로벌AI메타버스증권자투자(주식)(UH)CPe,KB 글로벌 AI 메타버스테크 증권 자투자신탁(주식)(UH) C-Pe,KR5127450378,12123A12036021511ZZ2,KRZ50246860F,00031B1,0,주식형,00040035,해외,개인,00,해당없음,공모,0302300031B1,판매중,K55223DJ3035,Y,00020054,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
AMEX GOLD BUGS INDEX,아멕스 금광업체,KRW,Y,000,글로벌,80.70,-21.48,-23.48,-13.89,107064286034.0000,10,-8.65,32.23,105.71,115.79,64.11,0,0011973C0379,0,배당,iM에셋월드골드자(주식재간접)(H)CRp,,IM ASSET WORLD GOLD FUND - HEDGED FEEDERCLASS C-RP,iM에셋월드골드증권자투자신탁(주식-재간접형)(H)(C-Rp),KR518105040M,16123A1206002150118A,KRZ50152112F,0F0225,0,재간접,00080035,해외,해당없음,00,해당없음,공모,0337500F0210,판매중,K55366B44729,Y,00020054,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
[(MSCI World Index ×90% (KRW)) + (Call × 10%)],[(MSCI World Index ×90% (KRW)) + (Call × 10%)],KRW,Y,000,이머징/브릭스,,,,,1300685371.0000,10,,,,,,0,0010660C4193,0,배당,한국투자중국소비성장수혜주자투자H(주식)C,,한국투자중국소비성장수혜주증권자투자신탁H[주식](C),한국투자중국소비성장수혜주증권자투자신탁H[주식](C),KR5113450091,12123412301021111ZZB,KRZ500662552,0003X91,0,주식형,00040024,해외,해당없음,00,해당없음,공모,032280003X91,판매중,KR5101974479,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,아시아,2.93,-15.39,-15.19,-20.41,397444548.0000,10,-2.64,-16.68,2.03,-3.10,-52.88,0,0010189C2881,0,배당,한화차이나셀렉트헬스케어자(H)(주식)C-RPe,,HANWHA CHINA SELECT HEALTHCARE FEEDER FUND (H) (EQUITY) C-RPE,한화차이나셀렉트헬스케어증권 자투자신탁(H)(주식) 종류C-RPe(퇴직연금),KR5129450165,12123A1206017151118B,KRZ50240229C,0169341,0,주식형,00040027,해외,해당없음,00,해당없음,공모,030220169341,판매중,K55213D18038,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,00,,,,,,0,000000000000,0,배당,스페셜단기9,,스페셜단기9,스페셜단기9,KR5010151024,00000000000000000000,KRZ500024020,31159,0,채권형,00040011,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5205101698,,00020081,,,,False,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,10.71,0.00,0.00,-13.94,6800953652.0000,10,0.00,-18.70,4.80,-5.54,-51.06,0,0010192C7168,0,배당,DB차이나바이오헬스케어자투자H[주식]CF,,DB차이나바이오헬스케어증권자투자신탁(H)[주식] 종류 C-F,DB차이나바이오헬스케어증권자투자신탁(H)[주식] 종류 C-F,KR5131450095,12123712001171111ZZA,KRZ502333486,0062701,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190062701,판매중,K55216CJ4009,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI Information Technology,MSCI ACWI Information Technology,KRW,Y,000,아시아,,,,,2146612497.0000,10,,,,,,0,0010189C2457,0,배당,한화아시아레전드4차산업자투자(주식)Ce,,한화아시아레전드4차산업혁명증권 자투자신탁[주식] C-E,한화아시아레전드4차산업혁명증권 자투자신탁[주식] C-e,KR5129450137,12123612001031111ZZ2,KRZ502245015,0169151,0,주식형,00040027,해외,해당없음,00,해당없음,공모,030220169151,판매완료,K55213C80386,Y,00020027,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,187.15,0.16,37.26,80.91,42214309068.0000,10,8.12,156.07,144.75,196.25,175.61,0,0010214M0050,0,배당,마이다스액티브가치투자회사(주식)A1,,MIDAS EQUITY FUND ACTIVECLASS A1,마이다스액티브가치증권투자회사(주식)종류 A1,KR5557450010,22111212301011111113,KRZ700066442,0052146,0,주식형,00080005,국내,해당없음,00,해당없음,공모,031740052146,판매중,KRM303732650,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI NORTH AMERICA CR 25% + KAP Bond Index 01Y 75%,MSCI NORTH AMERICA CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,7.60,0.28,0.81,2.62,375200372312.0000,10,0.06,5.20,,,,0,0010175C6728,0,배당,우리미국단기채공모주1(H)(채혼)C-Pe,,우리미국단기채공모주증권자투자신탁1호(H)(채권혼합)ClassC-Pe,우리미국단기채공모주증권자투자신탁1호(H)(채권혼합)ClassC-Pe,KR5118430039,1412361210102ZZZZZZD,KRZ50259944A,000UI02,0,채권혼합,00040007,해외,해당없음,00,해당없음,공모,03101000UI02,판매중,K55107ED5754,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
채권종합 3M~1Y,종합채권 3개월~1년,KRW,,000,국내,,,,,32932997750.0000,20,,,,,,0,0010183C3405,0,배당,교보악사만기투자형6호[채권]C-P(연금),,KYOBO AXA MATURITY INVESTMENT SECURITIES INVESTMENT TRUST 6 [BOND] CLASS C-P(PENSION),교보악사 만기투자형증권투자신탁 6호[채권] Class C-P(연금),KR5120420084,11111A328360131ZZZZ5,KRZ502590328,0313830,0,채권형,00040001,국내,개인,00,해당없음,공모,030400313830,판매완료,K55207EB8247,Y,00020003,,,,False,2026-07-11,PRFD01N001
KOSPI200 50% + KIS Bond Index 01Y 50%,KOSPI200 50% + KIS채권종합01Y 50%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,삼성배당공모1주혼A,,SAMSUNG DIVIDEND PLUS PUBLICLY SUBSCRIBED SHARE FUND NO.1(EQUITY-HYBRID)A,삼성배당플러스공모주증권투자신탁제1호(주식혼합)A,KR510503003M,00000000000000000000,KRZ500150411,2M8691,0,주식혼합,00040010,국내,해당없음,00,해당없음,공모,030200218691,판매완료,KR5105819258,Y,00020020,,,,False,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,,000,국내,4.38,0.20,0.70,1.49,1261558710651.0000,10,0.03,2.67,6.27,,,0,0010198C6320,0,배당,KB내일드림초단기채증투신(채)C,,KB내일드림초단기채증권투자신탁(채권)C,KB내일드림초단기채증권투자신탁(채권)C,KR5127420111,11111412001013921ZZ5,KRZ502551344,0032D0,0,채권형,00040035,국내,해당없음,00,해당없음,공모,0302300032D0,판매중,K55223E28067,Y,00050004,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. High Yeild 2% Issuer cap(원화환산) 90% + Call 10%,Bloomberg U.S. High Yeild 2% Issuer cap(원화환산) 90% + Call 10%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,피델연금미국하이재Ce,,FIDELITY PENSION USA HIGH YIELD UMBRELLA FEEDER FUND(BOND-FOFS)CE,피델리티연금미국하이일드증권전환형자투자신탁(채권-재간접형)Ce,KR515009054M,00000000000000000000,KRZ501788022,00,0,재간접,00080029,해외,개인,00,해당없음,공모,033180050311,판매완료,KR5235AC9444,Y,00020054,,,,False,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,,000,국내,,0.16,0.63,-0.62,180087704166.0000,10,0.05,0.48,,,,0,0010205C7379,0,배당,미래에셋프리미엄크레딧초단기증권(채권)C,,미래에셋프리미엄크레딧초단기증권투자신탁(채권) 종류C,미래에셋프리미엄크레딧초단기증권투자신탁(채권) 종류C,KR5153420332,11111412001013521ZZ5,KRZ502616834,0485300,0,채권형,00080008,국내,해당없음,00,해당없음,공모,031910485300,판매중,K55301EH1092,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,188.92,0.20,37.38,81.25,42214309068.0000,10,8.12,157.08,146.87,201.81,183.30,0,0010214M0071,0,배당,마이다스액티브가치투자회사(주식)Ae,,MIDAS EQUITY FUND ACTIVECLASS A-E,마이다스액티브가치증권투자회사(주식)종류 Ae,KR5557450017,22111612001011111113,KRZ70106644B,0052146,0,주식형,00080005,국내,해당없음,00,해당없음,공모,031740052146,판매중,K5M303BR6071,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI WORLD/ENERGY,MSCI WORLD/ENERGY,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,KTB글로벌에너지A주식,,소규모펀드 임의해지(2014.03.21),KTB글로벌에너지개발증권투자신탁[주식]종류A,KR5152450011,00000000000000000000,KRZ500571021,0012178,0,주식형,00080013,해외,해당없음,00,해당없음,공모,032400012178,판매완료,KR5306954433,Y,00020088,,,,False,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,6.32,3.46,1.15,-0.21,48808828276.0000,10,0.29,8.60,1.64,3.23,1.38,0,0010189C1668,0,배당,한화연금저축글로벌헬스케어자투자(주식)Ce,,HANWHA PENSION GLOBAL HEALTHCARE FEEDER FUND(EQUITY)CE,한화연금저축글로벌헬스케어증권자투자신탁(주식)Ce,KR511002017M,12123612036021511182,KRZ501820922,160142,0,주식형,00040027,해외,개인,00,해당없음,공모,030220160140,판매중,KR5213AI2357,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,USD,N,000,글로벌,5.23,0.94,1.16,0.91,720233.2200,10,0.53,3.91,9.77,16.00,-0.69,1,0010203C0860,0,배당,우리 PIMCO글로벌투자등급(USD)[채-재]A,,우리 PIMCO글로벌투자등급증권투자신탁(USD)[채권_재간접형]_CLASS A,우리PIMCO글로벌투자등급증권투자신탁(USD)[채권_재간접형]_ClassA,KR5138490090,161212120010231ZZZZ4,KRZ502363131,000Q127,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000Q126,판매중,K55228CU8761,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,19.02,0.48,6.94,9.71,351953907818.0000,10,0.87,18.07,23.23,35.59,29.30,0,0010205C5382,0,배당,미래에셋전략배분TDF솔루션혼합자산자CPe,,미래에셋전략배분TDF솔루션혼합자산자투자신탁 종류CP-E,미래에셋전략배분TDF솔루션혼합자산자투자신탁 종류CP-e,KR5153480027,19133612036022111ZZ4,KRZ502249449,0537500,0,혼합자산,00080008,국내외혼합,개인,00,해당없음,공모,031910537500,판매중,K55301CB2734,Y,00020004,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC,MSCI AC ASIA PACIFIC,KRW,Y,000,아시아,,,,,,10,,,,,,0,000000000000,0,배당,미래에셋다이와넥스트아시아1(H-JPY)(주)CI,,미래에셋다이와넥스트아시아퍼시픽증권자투자신탁1호(H-JPY)(주식)종류C-I,미래에셋다이와넥스트아시아퍼시픽증권자투자신탁1호(H-JPY)(주식)종류C-I,KR5153450367,00000000000000000000,KRZ502021658,0504100,0,주식형,00080008,해외,법인,00,해당없음,공모,031910504100,판매중,K55301B86040,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. AGGREGATE 90%,Bloomberg U.S. AGGREGATE 90%,KRW,Y,410,글로벌,3.18,0.21,0.15,-0.17,7547367057.0000,10,0.00,3.15,5.76,10.39,-3.54,0,0010204C1118,0,배당,카디안미국투자회사채자(H)[채-재]Cw,,카디안 미국투자적격회사채증권자투자신탁(H)[채권-재간접형]C-W,카디안 미국투자적격회사채증권자투자신탁(H)[채권-재간접형]C-W,KR5133490030,16123B120011031ZZZZE,KRZ501778367,0035601,0,재간접,00040038,해외,해당없음,00,해당없음,공모,031890035601,판매중,KR5229AC5051,Y,00020020,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,1.21,41.36,88.72,1667125811130.0000,10,10.19,,,,,0,0011972C5878,0,배당,KCGI코리아증권투자신탁1호(주식)CP2,,KCGI코리아증권투자신탁1호[주식]종류C-P2,KCGI코리아증권투자신탁1호[주식]종류C-P2,KR5147450101,12111A12060011111112,KRZ50183118K,0002064,0,주식형,00040087,국내,해당없음,00,해당없음,공모,034680002064,판매중,KR5365AW3635,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,113643515437.0000,10,,,,,,0,0010660C4057,0,배당,한국투자코리아핵심성장증투신1호(주)C-F,,한국투자코리아핵심성장증권투자신탁1호(주식) 종류C-F,한국투자코리아핵심성장증권투자신탁1호(주식) 종류C-F,KR5113601806,12111712001011111112,KRZ500226582,40001,0,주식형,00040024,국내,해당없음,00,해당없음,공모,032280040001,판매중,KR5101287955,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,410,글로벌,,1.45,10.00,,1209227000.0000,10,0.30,,,,,0,0011459C2667,0,배당,IBK로우코스트적격TDF2060[주혼재]CRe,,IBK 로우코스트 적격 TDF 2060 증권자투자신탁[주식혼합-재간접형] 종류 C-RE,IBK 로우코스트 적격 TDF 2060 증권자투자신탁[주식혼합-재간접형] 종류 C-Re,KR5149490089,161236120600211ZZZZB,KRZ502632132,0083600,0,재간접,00080022,해외,해당없음,00,해당없음,공모,033490083600,판매중,K55234EB7246,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,15.58,0.46,5.29,6.80,7969607186.0000,10,0.79,15.03,19.43,28.60,16.62,0,0010182C2473,0,배당,키움디딤더높이EMP(채권혼합재간접)CP2,,키움디딤더높이EMP증권투자신탁[채권혼합-재간접형] CP2,키움디딤더높이EMP증권투자신탁[채권혼합-재간접형] CP2,KR5123490025,16121A120600226ZZZZD,KRZ502046738,0002650,0,재간접,00080052,해외,해당없음,00,해당없음,공모,030270002650,판매중,K55206BC6129,Y,00020020,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,50.74,0.58,19.96,28.70,47651797259.0000,10,1.39,38.48,,,,0,0011459C2103,0,배당,IBK퇴직연금가치형롱숏40증권자[채혼]Ce,,IBK Value Long-Short 40 Feeder Fund Ce,IBK 퇴직연금 가치형롱숏40 증권 자투자신탁[채권혼합] C-e,KR5149430021,14113612060012211ZZ4,KRZ501952833,0083347,0,채권혼합,00080022,국내,해당없음,00,해당없음,공모,033490083347,판매중,K55234BX0537,Y,00020002,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,,,,,10339.0000,10,,,,,,0,0010203C0650,0,배당,우리이지스증권자투자신탁[채권]C(W),,우리 이지스 증권 자투자신탁[채권] CLASS C(W),우리이지스증권자투자신탁[채권]ClassC(W),KR5138420005,11113B12001013122265,KRZ501403131,000Q463,0,채권형,00040007,국내,해당없음,00,해당없음,공모,03101000Q456,판매완료,KR5228936310,Y,00020054,,,,False,2026-07-11,PRFD01N001
JACI 90%,JACI 90%,KRW,N,000,이머징/브릭스,-0.15,3.09,-0.79,-0.81,69016162393.0000,10,-0.18,2.33,6.13,17.37,26.46,0,0010205C2737,0,배당,미래에셋인도채권증권자투자신탁1(채)A,,미래에셋인도채권증권자투자신탁1호(채권)종류A,미래에셋인도채권증권자투자신탁1호(채권)종류A,KR5153420090,111232120011831ZZZZ4,KRZ501974921,0537010,0,채권형,00080008,해외,해당없음,00,해당없음,공모,031910537010,판매중,K55301AZ7430,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,글로벌,30.74,0.53,11.30,17.24,6629128453.0000,10,1.73,27.39,34.11,45.44,36.56,0,000000000000,0,배당,미래에셋솔루션40자1(채권혼합재간접)CPE,,미래에셋펀드솔루션40증권전환형자투자신탁1호(채권혼합-재간접형)종류C-PE,미래에셋펀드솔루션40증권전환형자투자신탁1호(채권혼합-재간접형)종류C-PE,KR5153490062,00000000000000000000,KRZ502000967,0485040,0,재간접,00080008,해외,개인,00,해당없음,공모,031910485040,판매중,K55301B48735,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,1.17,,,86193925300.0000,10,0.98,,,,,0,0010214C1936,0,배당,마이다스기본적격TDF2030혼합자산자CP1,,마이다스기본적격TDF2030혼합자산자투자신탁 C-P1,마이다스기본적격TDF2030혼합자산자투자신탁 C-P1,KR5157482002,1913341203602ZZZZZZ4,KRZ502520685,0054540,0,혼합자산,00080005,국내외혼합,개인,00,해당없음,공모,031740054540,판매중,K55303DV7785,Y,00020081,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
채권종합 3M~1Y,종합채권 3개월~1년,KRW,N,000,국내,,,,,12543644271.0000,20,,,,,,0,0010181C3703,0,배당,멀티에셋2년만기제3호[채권]C-Pe,,멀티에셋2년만기증권투자신탁 제3호[채권] C-PE,멀티에셋2년만기증권투자신탁 제3호[채권] C-Pe,KR5110420146,11111632801013122ZZ5,KRZ502299166,0210255,0,채권형,00040011,국내,개인,00,해당없음,공모,030410210255,판매완료,K55205CJ5793,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,30.56,-1.88,21.81,20.62,9060515511.0000,10,0.40,39.43,45.32,79.46,76.37,0,0010189C2916,0,배당,한화글로벌테크히어로증권자(H)(주식)A,,HANWHA GLOBAL TECH HERO FUND-FEEDER FUND (H) A,한화글로벌테크히어로증권 자투자신탁(H)(주식) A,KR5129450140,1212321200102151118B,KRZ502414541,0169460,0,주식형,00040027,해외,해당없음,00,해당없음,공모,030220169460,판매중,K55213D57515,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,글로벌,25.71,1.15,10.42,13.66,112711081771.0000,10,1.20,24.69,33.41,49.81,,0,0010205C6644,0,배당,미래에셋연금동행TRF중립형(채혼재)C-P2e,,미래에셋연금동행TRF중립형증권투자신탁(채권혼합-재간접형) 종류C-P2e,미래에셋연금동행TRF중립형증권투자신탁(채권혼합-재간접형) 종류C-P2e,KR5153490699,16131612060022111ZZ4,KRZ502524444,0536640,0,재간접,00080008,국내외혼합,해당없음,00,해당없음,공모,031910536640,판매중,K55301DW7760,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KRX 300,KRX 300,KRW,,000,국내,279.36,3.32,55.01,117.76,18423110947.0000,10,9.09,221.11,235.32,275.05,215.21,0,0010173C7712,0,배당,삼성KRX300인덱스(주식파생)Cpe(퇴직),,삼성KRX300인덱스증권투자신탁[주식-파생형]_CPE(퇴직연금),삼성KRX300인덱스증권투자신탁[주식-파생형]_Cpe(퇴직연금),KR5114470147,12211612060017111ZZ2,KRZ50221242E,02MF150,0,06,00040010,국내,해당없음,00,해당없음,공모,0302002MF150,판매중,K55105C60949,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI High Dividend Yield 50,코스피 고배당 50,KRW,,000,국내,150.44,-0.56,32.04,69.20,1037656460103.0000,10,7.99,118.58,130.43,164.25,141.96,0,0010206C0410,0,배당,베어링고배당증권자투자신탁(주식) C1,,베어링고배당 증권자투자신탁(주식) Class C1,베어링고배당 증권자투자신탁(주식) Class C1,KR5156450021,12113412001011411112,KRZ502076381,0042611,0,주식형,00080019,국내,해당없음,00,해당없음,공모,032530042611,판매중,KR5302AX5643,Y,00020020,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,Y,000,아시아,8.20,-5.65,-2.07,-2.03,188819770644.0000,10,-2.44,6.62,20.08,19.56,0.62,0,0011458C0357,0,배당,피델리티아시아증권자투자신탁(주식)Ae,,FIDELITY KOREA - ASIA BABY INVESTMENT TRUST (EQUITY) CLASS A-E,피델리티아시아증권자투자신탁(주식)Ae,KR5148651027,1212361200103110126C,KRZ501355472,0043611,0,주식형,00080029,해외,해당없음,00,해당없음,공모,033180043611,판매중,KR5235A99587,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 10% +  KIS Bond Index 01Y 90%,KOSPI200 10% + KIS종합채권 01Y 90%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,KTB웰빙안정증권투자회사[채권혼합]C3,,KTB웰빙안정증권투자회사[채권혼합]C3,KTB웰빙안정증권투자회사[채권혼합]C3,KR5552430023,00000000000000000000,KRZ700067363,24007,0,채권혼합,00080013,국내,해당없음,00,해당없음,공모,032400024002,판매완료,KRM306975553,Y,00020081,,,,False,2026-07-11,PRFD01N001
JP Morgan GBI-EM Global Diversified 90%,JP Morgan GBI-EM Global Diversified 90%,KRW,Y,000,글로벌,8.19,0.22,0.75,1.66,170755677.0000,10,-0.17,7.53,11.54,20.27,3.74,0,0011973C0405,0,배당,iM에셋저변동이머징마켓채권(채권재간접)A,,IM ASSET EMERGING MARKETS FLEXI DYNAMIC BOND-F(A),iM에셋저변동이머징마켓채권증권투자신탁(채권-재간접형)(A),KR5181490130,16121212001233125ZZD,KRZ502142621,061811,0,재간접,00080035,해외,해당없음,00,해당없음,공모,033750061810,판매중,K55366BO1866,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,,,,,2062118553.0000,10,,,,,,0,0010660C2092,0,배당,한국투자롱텀밸류배당30투자(채권혼합)C,,RICHDAD DIVIDEND-PLUS BALANCED FUND W-1CLASS 00,한국투자롱텀밸류배당30증권투자신탁(채권혼합) 종류 C,KR5113430022,14111412301012411115,KRZ501145511,0004735,0,채권혼합,00040024,국내,해당없음,00,해당없음,공모,032280004735,판매완료,KR5101AP1025,Y,00050004,,,,False,2026-07-11,PRFD01N001
MSCI BRAZIL CR 50% + MSCI RUSSIA CR 50%,MSCI BRAZIL CR 50% + MSCI RUSSIA CR 50%,KRW,Y,000,이머징/브릭스,,,,,4011535545.0000,10,,,,,,0,000000000000,0,배당,디더블유에스브러시아자[주식]C3,,DWS BRUSSIA EQUITY FEEDER C3,디더블유에스브러시아증권자투자신탁[주식]C3,KR5143450033,00000000000000000000,KRZ500412307,0082010,0,주식형,00040084,해외,해당없음,00,해당없음,공모,032660082010,판매완료,KR5231993795,Y,00020088,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,멀티퇴직코리아40채혼,,멀티에셋퇴직연금 코리아베스트하이브리드40증권자투자신탁[채권혼합],멀티에셋퇴직연금 코리아베스트하이브리드40증권자투자신탁[채권혼합],KR5110450240,00000000000000000000,KRZ501932710,0060041,0,채권혼합,00040011,국내,해당없음,00,해당없음,공모,030410060041,판매완료,KR5205AW0080,Y,00020003,,,,False,2026-07-11,PRFD01N001
