cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,삼성증권(주),1.0,C,20260615.0,17345.0,18240.0,5.16,11.22,86.22,29.73,38.55,38.13,18240.0,0.0,18180.94,18240.0,834.28,17346.66,2026-06-15 00:00:00,0.0,1667132.5,133502.0,0.0,96.8,7.8,,,삼성 일본니케이225선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001236,Q530123,1000000.0,99991231.0,20240910.0,STK,유가증권,18180.94,17346660000.0,삼성증권 삼성 일본니케이225선물 상장지수증권(H) 제123호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,일본,20260615.0,1.0,True,ETN,False,JAPAN,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.49,삼성,1.0,실물복제,20260615.0,24405.0,24900.0,2.03,-11.06,102.03,-6.39,67.56,63.44,25550.0,902614955000.0,24494.3,24500.0,-24494.3,24494.3,2026-06-15 00:00:00,64391985904.0,85205808831.5,51045622863.6,2573410.0,3257626.9,2129039.2,,,KODEX 증권,0.0,36850000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7102970001,A102970,36850000.0,99991231.0,20080529.0,STK,유가증권,24494.3,902615079758.0,삼성 KODEX 증권주 증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,36850000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,KRX 증권,주식,True,0.49,provided,KRX 증권,external_krx_20260806
,,키움,1.0,실물복제,20260615.0,17005.0,17370.0,2.15,-2.22,57.27,15.03,27.07,28.91,17425.0,,17230.15,17010.0,-17230.15,17230.15,2026-06-15 00:00:00,163842651.0,206773290.35,132105837.2,9444.0,11817.45,7683.6,,,KIWOOM 글로벌전력GRID인프라,13604000000.0,800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7489860007,A489860,800000.0,99991231.0,20240827.0,STK,유가증권,17230.15,13784121001.0,키움 KIWOOM 글로벌전력GRID인프라증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,800000.0,0.0,,,N,주식,글로벌,20260615.0,2.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.49,NASDAQ OMX Clean Edge Smart Grid Infrastructure Index,주식,False,0.49,external_krx_20260806,NASDAQ OMX Clean Edge Smart Grid Infrastructure Index,external_krx_20260806
종합채권03Y 90%,,NH-Amundi,,,,0.0,0.0,,,-100.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,HANARO KAP초장기국고채,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7346000003,A346000,76000.0,20251105.0,20200116.0,STK,유가증권,,,NH-Amundi HANARO KAP 초장기국고채증권상장지수투자신탁(채권-파생형),N,N,PD_RISK_GCD_13,다소높은위험(3등급),0,,,,,1.0,,,Y,채권,국내,20260615.0,3.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,종합채권03Y 90%,provided
,,IBK,1.0,실물복제,20260615.0,18750.0,18450.0,-1.6,,,,,,18750.0,13594458600.0,18370.89,18245.0,-18370.89,18370.89,2026-06-15 00:00:00,37301885.0,,267797837.8,2007.0,,16037.4,,,IBK 코스닥150,0.0,740000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70191S0001,A0191S0,740000.0,99991231.0,20260519.0,STK,유가증권,18370.89,13594461280.0,IBK IBK 코스닥150증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,740000.0,0.0,,,Y,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.105,코스닥 150,주식,False,0.105,external_krx_20260806,코스닥 150,external_krx_20260806
,,대신증권(주),-2.0,C,20260615.0,18835.0,19050.0,1.14,-1.96,,,,,19050.0,0.0,19033.68,19050.0,212.77,18820.91,2026-06-15 00:00:00,0.0,12063.25,7565.0,0.0,0.65,0.4,,,대신 인버스 2X 미국달러 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG510000455,Q510045,1500000.0,99991231.0,20260430.0,STK,유가증권,19033.68,28231365000.0,대신증권 대신 인버스 2X 미국달러 선물 상장지수증권 제45호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1500000.0,0.0,,,N,통화,미국,20260615.0,1.0,True,ETN,False,US,mapped,CURRENCY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한화,1.0,실물복제,20260615.0,29050.0,30465.0,4.87,14.9,144.31,44.28,86.33,83.47,30740.0,15914442500.0,28935.35,30195.0,-28935.35,28935.35,2026-06-15 00:00:00,19755655.0,57616966.45,10579430.0,651.0,2073.45,366.6,,,PLUS 주도업종,15977500000.0,550000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7280920000,A280920,550000.0,99991231.0,20171017.0,STK,유가증권,28935.35,15914441097.0,한화 PLUS 주도업종증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,550000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.23,FnGuide 주도업종 지수,주식,False,0.23,external_krx_20260806,FnGuide 주도업종 지수,external_krx_20260806
,,KB,1.0,실물복제,20260615.0,6945.0,6885.0,-0.86,-5.43,-22.99,-14.21,-9.88,-6.96,7035.0,24175760000.0,6907.36,6875.0,-6907.36,6907.36,2026-06-15 00:00:00,130263705.0,224698059.35,152319802.4,18803.0,31769.8,22549.6,,,RISE 게임테마,24307500000.0,3500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7300640000,A300640,3500000.0,99991231.0,20180724.0,STK,유가증권,6907.36,24175770301.0,KB RISE 게임테마증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,3500000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.3,WISE 게임 테마 지수 (시장가격지수),주식,False,0.3,external_krx_20260806,WISE 게임 테마 지수 (시장가격지수),external_krx_20260806
,,삼성,2.0,실물복제,20260615.0,23730.0,25685.0,8.24,,,,,,26415.0,2450554250000.0,23619.8,25405.0,-23619.8,23619.8,2026-06-15 00:00:00,1255738139425.0,,1608310113828.0,48384480.0,,69792889.2,,,KODEX 삼성전자단일종목레버리지,0.0,103750000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70193W0003,A0193W0,108575000.0,99991231.0,20260527.0,STK,유가증권,23619.8,2450554059562.0,삼성 KODEX 삼성전자단일종목레버리지증권상장지수투자신탁[주식-파생형],N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,8.0,,N,103750000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.29,KRX 삼성전자 지수,주식,False,0.29,external_krx_20260806,KRX 삼성전자 지수,external_krx_20260806
,,한국투자증권(주),-0.5,C,20260615.0,21925.0,22575.0,2.96,10.2,52.74,19.04,8.38,5.44,22590.0,0.0,22614.96,22360.0,779.46,21835.5,2026-06-15 00:00:00,3183170.0,9415723.5,29122859.0,142.0,430.1,1326.4,,,한투 인버스0.5X S&P500 VIX S/T선물 ETN B,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG570001153,Q570115,1000000.0,99991231.0,20250307.0,STK,유가증권,22614.96,21835500000.0,한국투자증권 한투 인버스0.5X S&P500 VIX S/T 선물 상장지수증권 B 제115호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,기타,미국,20260615.0,1.0,True,ETN,False,US,mapped,OTHER,ambiguous,2026-07-11,PREF01N001,,,,False,,,,
,,KB증권(주),-2.0,C,20260615.0,4045.0,3745.0,-7.42,10.15,-42.82,33.51,-8.88,-7.76,3830.0,0.0,3789.98,3745.0,-422.25,4212.23,2026-06-15 00:00:00,14802400.0,12549603.05,29831945.2,3908.0,3366.3,7609.4,,,KB 인버스 2X 금 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000237,Q580023,500000.0,99991231.0,20210805.0,STK,유가증권,3789.98,2106115000.0,KB증권 KB 인버스 2X 금 선물 상장지수증권(H) 제23호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,500000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,하나증권주식회사,-2.0,C,20260615.0,10830.0,11025.0,1.8,-1.69,,31.25,-34.9,-29.58,11090.0,0.0,11081.56,10990.0,232.74,10848.82,2026-06-15 00:00:00,2478985.0,11608411.75,17131155.0,224.0,1131.7,1621.0,,,하나 인버스 2X 천연가스 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG700000323,Q700032,1000000.0,99991231.0,20250916.0,STK,유가증권,11081.56,10848820000.0,하나증권 하나 인버스 2X 천연가스 선물 상장지수증권(H) 제32호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋,1.0,실물복제,20260615.0,24980.0,26345.0,5.46,15.35,148.54,56.58,68.61,70.63,26350.0,1339024589500.0,25051.91,25790.0,-25051.91,25051.91,2026-06-15 00:00:00,17613831468.0,32317268108.6,28751103153.4,672702.0,1336718.65,1167427.8,,,TIGER 미국필라델피아AI반도체나스닥,1335181000000.0,53450000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7497570002,A497570,52950000.0,99991231.0,20241126.0,STK,유가증권,25051.91,1311467557408.0,미래에셋 TIGER 미국필라델피아AI반도체나스닥증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,53300000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.49,PHLX US AI Semiconductor 지수 (PR),주식,False,0.49,external_krx_20260806,PHLX US AI Semiconductor 지수 (PR),external_krx_20260806
,,하나,1.0,액티브,20260615.0,12520.0,12540.0,0.16,1.29,24.9,7.92,7.92,9.9,12585.0,292690242000.0,12508.13,12475.0,-12508.13,12508.13,2026-06-15 00:00:00,3686635995.0,3275841593.2,3114665425.6,294035.0,261591.75,248639.6,,,1Q 미국S&P500미국채혼합50액티브,292968000000.0,23400000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70052S0009,A0052S0,23500000.0,99991231.0,20250610.0,STK,유가증권,12508.13,292690186302.0,하나 1Q 미국S&P500미국채혼합50액티브증권상장지수투자신탁(채권혼합),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,23400000.0,0.0,,,N,혼합자산,미국,20260615.0,4.0,True,ETF,False,US,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.15,S&P 500 and Short-Term Treasury 50/50 Blend Index,혼합자산,False,0.15,external_krx_20260806,S&P 500 and Short-Term Treasury 50/50 Blend Index,external_krx_20260806
,,KB증권(주),-2.0,C,20260420.0,0.0,0.0,,,-100.0,-100.0,-100.0,-100.0,0.0,0.0,4333.01,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,KB 인버스 2X S&P 500 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000179,Q580017,1000000.0,20260421.0,20210422.0,STK,유가증권,4333.01,4333010000.0,KB증권 KB 인버스 2X S&P 500 선물 상장지수증권 제17호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,3.0,,N,1000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,트러스톤,1.0,액티브,20260615.0,29450.0,31045.0,5.42,4.9,112.78,37.25,65.75,69.74,31120.0,16638686400.0,29711.94,30280.0,-29711.94,29711.94,2026-06-15 00:00:00,82886455.0,119517404.0,59970441.8,2700.0,3985.2,2042.4,,,TRUSTON 주주가치액티브,0.0,560000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7472720002,A472720,560000.0,99991231.0,20231214.0,STK,유가증권,29711.94,16638687399.0,트러스톤 TRUSTON 주주가치액티브증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,560000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.785,코스피 200,주식,False,0.785,external_krx_20260806,코스피 200,external_krx_20260806
,,삼성,1.0,액티브,20260615.0,66235.0,65950.0,-0.43,0.75,10.87,0.99,1.5,3.96,66060.0,41824641360.0,66178.23,65705.0,-66178.23,66178.23,2026-06-15 00:00:00,103919055.0,87722528.0,73561192.0,1577.0,1332.7,1114.8,,,KODEX 아시아달러채권ESG플러스액티브,0.0,632000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7437070006,A437070,632000.0,99991231.0,20220809.0,STK,유가증권,66178.23,41824641930.0,삼성 KODEX 아시아달러채권ESG플러스액티브증권상장지수투자신탁[채권],안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,632000.0,0.0,,,N,채권,국내,20260615.0,4.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.18,Bloomberg MSCI EM Asia Investment Grade Credit SRI Index(Total Return),채권,False,0.18,external_krx_20260806,Bloomberg MSCI EM Asia Investment Grade Credit SRI Index(Total Return),external_krx_20260806
,,삼성,1.0,합성복제,20260615.0,13965.0,14275.0,2.22,-7.9,80.58,6.53,21.9,27.68,14275.0,8774831000.0,13499.74,14035.0,-13499.74,13499.74,2026-06-15 00:00:00,3758885.0,4484519.55,2337348.0,264.0,298.45,167.0,,,KODEX 한중전기차(합성),0.0,650000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7450180005,A450180,650000.0,99991231.0,20221222.0,STK,유가증권,13499.74,8774831757.0,삼성 KODEX 한중전기차증권상장지수투자신탁[주식-파생형](합성),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,650000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.25,KRX CSI 한·중 전기차지수,주식,False,0.25,external_krx_20260806,KRX CSI 한·중 전기차지수,external_krx_20260806
,0.1,브이아이,1.0,실물복제,20260615.0,24110.0,25460.0,5.6,8.06,101.74,35.46,57.89,61.5,25500.0,8467186000.0,24191.96,24770.0,-24191.96,24191.96,2026-06-15 00:00:00,9859520.0,5321543.0,2274728.0,388.0,217.65,90.2,,,FOCUS ESG리더스,0.0,350000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7285690004,A285690,350000.0,99991231.0,20171213.0,STK,유가증권,24191.96,8467185366.0,브이아이 FOCUS ESG Leaders150증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,350000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.1,KRX ESG Leaders 150,주식,False,0.1,provided,KRX ESG Leaders 150,external_krx_20260806
,0.19,삼성,1.0,실물복제,20260615.0,15930.0,16115.0,1.16,-0.59,14.62,2.38,10.04,10.04,16170.0,172632492000.0,15984.49,15960.0,-15984.49,15984.49,2026-06-15 00:00:00,1947445829.0,2937984872.4,1484584027.2,120847.0,182628.65,93190.8,,,KODEX 코리아배당성장채권혼합,0.0,10800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7237370002,A237370,10800000.0,99991231.0,20160127.0,STK,유가증권,15984.49,172632446526.0,삼성 KODEX 코리아배당성장채권혼합증권상장지수투자신탁[채권혼합],안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,10800000.0,0.0,,,N,혼합자산,국내,20260615.0,5.0,True,ETF,True,KR,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.19,배당성장채권혼합지수,혼합자산,False,0.19,provided,배당성장채권혼합지수,external_krx_20260806
,,삼성증권(주),1.0,C,20260615.0,13840.0,13905.0,0.47,-2.9,47.45,-7.67,16.55,19.36,14175.0,0.0,13880.58,13835.0,36.44,13844.14,2026-06-15 00:00:00,168277545.0,315312824.5,680372368.0,11920.0,23709.85,52300.6,,,삼성 코스닥 150 TR ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001186,Q530118,3000000.0,99991231.0,20231219.0,STK,유가증권,13880.58,41532420000.0,삼성증권 삼성 코스닥 150 TR 상장지수증권 제118호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,3000000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,NH-Amundi,1.0,실물복제,20260615.0,21020.0,23000.0,9.42,16.57,229.04,77.61,116.57,130.81,23000.0,64682709000.0,20865.39,21850.0,-20865.39,20865.39,2026-06-15 00:00:00,701260382.0,2486414863.4,762243778.8,30891.0,112944.1,35946.2,,,HANARO Fn전기&수소차,65162000000.0,3100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7381560002,A381560,3100000.0,99991231.0,20210402.0,STK,유가증권,20865.39,64682719493.0,NH-Amundi HANARO Fn전기&수소차증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,3100000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,FnGuide 전기&수소차 지수 (시장가격),주식,False,0.45,external_krx_20260806,FnGuide 전기&수소차 지수 (시장가격),external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,37980.0,39780.0,4.74,12.88,245.16,63.97,139.93,124.37,40040.0,,38000.27,39280.0,-38000.27,38000.27,2026-06-15 00:00:00,13587785624.0,25982643944.05,13572909871.4,341871.0,701845.7,362262.4,,,KODEX 코리아밸류업,0.0,23100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7495850000,A495850,23100000.0,99991231.0,20241104.0,STK,유가증권,38000.27,877806336085.0,삼성 KODEX 코리아밸류업증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,23100000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.008,코리아 밸류업 지수,주식,False,0.008,external_krx_20260806,코리아 밸류업 지수,external_krx_20260806
,,하나증권주식회사,2.0,C,20260615.0,130755.0,134255.0,2.68,-13.33,54.2,18.14,2.08,-0.4,134255.0,0.0,131359.27,134255.0,-768.94,132128.21,2026-06-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,,하나 Solactive 2X US Tech Top 10 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG700000232,Q700023,1000000.0,99991231.0,20221222.0,STK,유가증권,131359.27,132128210000.0,하나증권 하나 Solactive 레버리지 US Tech Top 10 상장지수증권(H) 제23호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,KB,1.0,실물복제,20260615.0,10815.0,11015.0,1.85,-1.83,20.19,-7.4,9.17,14.32,11155.0,7600117000.0,10857.31,10915.0,-10857.31,10857.31,2026-06-15 00:00:00,63589155.0,97698908.85,49774494.2,5770.0,8764.15,4565.0,,,RISE 글로벌농업경제,7570500000.0,700000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7437370000,A437370,700000.0,99991231.0,20220729.0,STK,유가증권,10857.31,7600120422.0,KB RISE 글로벌농업경제MV증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_13,다소높은위험(3등급),1,2.0,,N,700000.0,0.0,,,N,주식,글로벌,20260615.0,3.0,True,ETF,False,GLOBAL,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.4,MVIS Global Agribusiness Index(Price Return),주식,False,0.4,external_krx_20260806,MVIS Global Agribusiness Index(Price Return),external_krx_20260806
,0.0,KB,2.0,실물복제,20260615.0,167450.0,187145.0,11.76,30.8,907.24,156.01,372.71,326.98,190695.0,118002353000.0,168574.79,184720.0,-168574.79,168574.79,2026-06-15 00:00:00,3524944343.0,6080101406.1,5253485541.4,18748.0,38321.75,32561.4,,,RISE 200선물레버리지,117215000000.0,700000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7252400007,A252400,700000.0,99991231.0,20160912.0,STK,유가증권,168574.79,118002354963.0,KB RISE 200선물레버리지증권상장지수투자신탁(주식-파생형),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,700000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.022,코스피 200 선물지수,주식,True,0.0,provided,코스피 200 선물지수,external_krx_20260806
,,KB증권(주),1.0,C,20260615.0,11750.0,11745.0,-0.04,1.82,14.59,1.16,2.71,4.91,11750.0,0.0,11743.14,11640.0,-15.21,11758.35,2026-06-15 00:00:00,1586335.0,707957.25,620167.0,136.0,60.85,53.2,,,KB 미국채 10년 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG580000591,Q580059,1000000.0,99991231.0,20240702.0,STK,유가증권,11743.14,11758350000.0,KB증권 KB 미국채 10년 상장지수증권 제59호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,채권,미국,20260615.0,1.0,True,ETN,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성증권(주),,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,삼성 인버스 0.5X S&P500 VIX S/T선물 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001103,Q530110,1000000.0,20250320.0,20230330.0,STK,유가증권,,,삼성증권 삼성 인버스 0.5X S&P500 VIX S/T 선물 상장지수증권 제110호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,기타,미국,20260615.0,1.0,True,ETN,False,US,mapped,OTHER,ambiguous,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋증권 주식회사,2.0,C,20260615.0,37800.0,41320.0,9.31,-22.1,,-33.83,-23.43,-41.83,42240.0,0.0,41479.04,41085.0,6715.99,34763.05,2026-06-15 00:00:00,836463995.0,2678202784.45,1535912653.0,20123.0,57536.75,42287.8,,,미래에셋 레버리지 은 선물 ETN B,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520000925,Q520092,2000000.0,99991231.0,20250828.0,STK,유가증권,41479.04,69526100000.0,미래에셋증권 미래에셋 레버리지 은 선물 상장지수증권 B 제107호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,2000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,실물복제,20260615.0,16095.0,16395.0,1.86,-3.59,51.25,14.77,10.63,10.93,16435.0,326291644000.0,16073.48,16225.0,-16073.48,16073.48,2026-06-15 00:00:00,5402445227.0,9223763495.8,5755728679.8,329981.0,543051.25,353858.8,,,KODEX 미국AI테크TOP10,0.0,20300000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7485540009,A485540,20300000.0,99991231.0,20240625.0,STK,유가증권,16073.48,326291674268.0,삼성 KODEX 미국AI테크TOP10증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,20300000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.3,KEDI 미국AI테크 TOP10 지수(PR),주식,False,0.3,external_krx_20260806,KEDI 미국AI테크 TOP10 지수(PR),external_krx_20260806
