itm_no,prfd_attr_cd
KR5153450306,M109
KR513509060M,V103
KR5114450357,G115
KR5133420050,D102
KR5133450048,G118
KR513503014M,C103
KR5174550021,G115
KR5169950018,C103
KR5144430019,M111
KR5135430011,S108
KR5039410038,C103
KR5133601006,D102
KR5127450346,D106
KR5172490039,D102
KR5149490079,M106
KR5022151006,D102
KR5181490176,C103
KR5127651007,C103
KR5187430019,D106
KR5114450229,D106
KR5127450318,C101
KR5153450879,G118
KR5181450027,D102
KR5114450120,C103
KR5181490230,V103
KR5127490275,N177
KR5148420095,D102
KR510902672M,IND
KR5139251002,D102
KR5127420072,W101
KR5113490128,C101
KR5133490030,M109
KR5122420002,C101
KR5114450084,C103
KR5127490395,W101
KR515009096M,C101
KR510902410M,C103
KR5114490075,V102
KR5144490035,C101
KR5153470125,C101
KR5114430011,D102
KR5110420123,C102
KR5120470048,C103
KR5116601013,M111
KR512102032M,M111
KR5182490131,P103
KR5153450292,M111
KR512509002M,C101
KR5129490047,D106
KR5153400033,V103
KR5153490645,C101
KR5153450802,G118
KR5153400056,N177
KR5174450012,C103
KR5127450276,F102
KR5172430017,V101
KR5153450511,M109
KR5133450036,M111
KR5153450634,IND
KR5153400038,C101
KR5120420057,M111
KR5153430031,F103
KR5170450039,C101
KR518104100M,G115
KR513304025M,P102
KR5153420262,C101
KR512602037M,V101
KR512102039M,M111
KR5171495001,D102
KR5114450616,V102
KR5153400020,V103
KR5123490028,C103
KR5147550002,M109
KR5110651010,D105
KR511502044M,W115
KR5153450380,C101
KR510902119M,C103
KR5144492084,W101
KR5147430075,M111
KR5129450080,C103
KR5113491000,W101
KR5152450049,D102
KR5172430012,M109
KR5144492023,M109
KR512012207M,C104
KR5010202006,C101
KR510903100M,D102
KR5118450071,D102
KR5149490068,M109
KR5116590007,C103
KR5138450005,D102
KR5113490152,C103
KR5134450012,C103
KR5142490143,C101
KR5153490802,N176
KR5529400024,M111
KR5129420028,M109
KR510903117M,C101
KR5194450018,M109
KR5159490008,F103
KR513309004M,M111
KR513509025M,M111
KR5110601004,C101
KR5162450018,M111
KR5113450273,M109
KR5152450000,V101
KR5113450132,D102
KR5153451150,D106
KR5139430126,F103
KR512Q450013,P104
KR5153430214,M111
KR5170490098,D102
KR5127450473,C103
KR511X490008,V101
KR5110490003,M111
KR5557450003,M111
KR5127430101,M102
KR5116601018,M111
KR5153420011,M111
KR5113651014,N149
KR5147450082,CHN
KR5153420339,C101
KR5153490711,N177
KR5153430214,V101
KR5153450631,VNM
KR510901068M,C103
KR5113459022,C101
KR5127490157,M111
KR5125450081,V101
KR5157450092,D102
KR5113490058,C103
KR5129490049,M111
KR5138590000,C101
KR5110651016,M109
KR5139601016,G118
KR5149490059,M111
KR513509058M,V103
KR5119450166,V101
KR5153450054,N122
KR5114450496,F103
KR5129450136,V102
KR510905003M,C103
KR5123450018,D102
KR513702026M,M111
KR511121104M,M110
KR5127420133,M111
KR5153450573,C101
KR515002020M,W101
KR5110420149,M111
KR5110450104,C103
KR5134530011,F103
KR5113459020,D102
KR5113450331,F103
KR5123450115,C103
KR5148490057,M112
KR5114450228,F103
KR5142490145,F103
KR5127490213,G115
KR5111450025,M111
KR5138490201,C103
KR5529400017,G110
KR5153450102,N138
KR5151450071,W101
KR5127450290,CHN
KR5114470136,N135
KR5157450137,V102
KR5139430115,C103
KR5153490446,M112
KR5120490084,F103
KR510909108M,M112
KR5153450178,W121
KR5147450043,P104
KR5127490404,G110
KR511703004M,D105
KR5181490235,M111
KR512509032M,F103
KR5129430008,C102
KR5187450039,V102
KR5113430901,C103
KR5010410006,G115
KR5114450093,N107
KR5153490523,D102
KR510902511M,M111
KR5170420020,M111
KR5172490005,D106
KR511702020M,V101
KR5144420091,G115
KR5127450311,N167
KR5153420161,W102
KR5113502002,M111
KR5170651116,V101
KR5153450156,C101
KR5153420221,D102
KR5153450774,M109
KR5117450011,M109
KR5114450080,C101
KR5127450028,V102
KR5149450081,M109
KR518102011M,M109
KR5153450160,C103
KR5113450192,M109
KR5123490146,W101
KR511031114M,D102
KR5049430009,D102
KR5127490010,C103
KR511502012M,D102
KR5127470029,D102
KR5110420109,M111
KR510909057M,M112
KR5556450020,M111
KR5153470044,S117
KR513702051M,V101
KR511042301M,C103
KR5153450500,P104
KR5153470121,M111
KR5153450284,V101
KR5147430061,M101
KR5138490116,C101
KR5114490110,N130
KR511102096M,W110
KR5113450503,F103
KR5114450541,W110
KR515203003M,D102
KR5153450569,G118
KR5120450059,V101
KR513404004M,G115
KR5185431000,G115
KR5185450029,F103
KR5127490397,G115
KR5144492161,D106
KR5138590020,M109
KR5153490673,V102
KR5114450549,D102
KR5114430159,D106
KR5157450134,M111
KR5114450250,G118
KR5174430016,M111
KR5187450048,C103
KR5114490439,G115
KR5114490348,C103
KR513102143M,D102
KR518103013M,D102
KR5110609017,C101
KR5153400033,C103
KR553093706M,D102
KR5144450093,D106
KR5137450077,VNM
KR5157450138,N135
KR5153490728,T255
KR5181490227,C101
KR5172490001,C103
KR5156490021,M111
KR5153400026,M111
KR5113490229,F103
KR5114490088,T220
KR5113450016,V101
KR5114450597,D106
KR5139430018,M111
KR510903121M,D106
KR5113420013,C103
KR5153490727,N177
KR510902323M,N114
KR5151470027,D106
KR5149651005,N147
KR5157450040,P101
KR5117440012,G110
KR5153490160,D106
KR5114470107,M111
KR5127490351,M102
KR5149490001,D102
KR5131450062,M111
KR511L440003,D102
KR5178490006,M106
KR5174430032,D102
KR5113450301,C103
KR5114440041,M109
KR511504004M,D106
KR5114450366,G118
KR5152601024,M111
KR5156480005,C101
KR5117490171,V102
KR511703003M,M111
KR5114450264,F101
KR518104002M,C101
KR5127450408,G110
KR5144450068,M111
KR5110420146,M111
KR5148490021,JPN
KR5134400001,W104
KR5153450329,F101
KR510904068M,V101
KR5153470086,C101
KR514X450008,V101
KR5129470014,M111
KR5111490045,W101
KR5110450122,C101
KR5153440078,M111
KR5124491001,W104
KR5123800003,D102
KR5143450034,V102
KR5114490128,M112
KR5153470255,S104
KR5170470000,D102
KR5127420075,M109
KR5127490331,D102
KR5153420288,D102
KR5153430134,M109
KR518104051M,C101
KR5153480030,V103
KR5125440041,C101
KR5157450134,W108
KR512001005M,F103
KR510902585M,C103
KR5131450012,M111
KR5110800004,JPN
KR5157450075,G110
KR5116430040,M111
KR513702054M,F103
KR5127440021,C101
KR512002026M,M109
KR5120490062,G110
KR513004013M,M111
KR5127470022,M111
KR5110450221,M109
KR5117490056,N177
KR5149430021,C101
KR5117490122,C103
KR5110490070,M111
KR5153450887,N149
KR5118420064,C103
KR5120530046,M111
KR5125450055,D102
KR5127430071,C101
KR5113490029,T220
KR510902023M,C101
KR5113450521,M109
KR5113490052,W101
KR510902234M,D105
KR5131450161,M111
KR5114430021,D102
KR5110651020,V102
KR5113450310,N137
KR5153490491,M112
KR516002038M,F103
KR5113459000,M111
KR5143450016,N109
KR5135450024,M109
KR510902157M,W116
KR5117430020,M109
KR517602051M,D102
KR5194450041,C103
KR5153450227,M109
KR5117490072,G110
KR5120490075,G115
KR5147490023,W101
KR5153450571,W104
KR5148490078,M112
KR5181450036,C103
KR5118420069,V101
KR5157481001,M109
KR5153460003,G110
KR518102056M,G115
KR5123450064,C101
KR5172420011,C101
KR5125430024,F103
KR5117490457,W101
KR5127490293,M111
KR5113490072,V102
KR5181490087,D102
KR5131450031,M111
KR5148450033,D106
KR5123490040,S121
KR5147450080,C103
KR5153490594,G115
KR5138590025,C103
KR5113430090,D102
KR517601004M,C103
KR510902491M,C103
KR5113450031,C101
KR5161450001,O101
KR5119450065,P102
KR5114420033,C103
KR5137450060,C101
KR5153450521,M111
KR5114440044,V102
KR5117490441,C101
KR5117430010,M111
KR5120530031,V101
KR5142490144,D102
KR5117490134,W101
KR5120490052,V103
KR5153470068,W101
KR5152430101,W124
KR5113450330,V102
KR5153470067,P101
KR5157450048,G110
KR5153450344,W110
KR5113761011,F104
KR518104046M,F103
KR5114450296,N167
KR5117490072,C101
KR510502102M,D106
KR5127450069,G115
KR5110450012,C103
KR5145450028,G110
KR5127651019,M111
KR511X490007,V101
KR5110490064,C101
KR5113490021,V102
KR5557450010,P102
KR5181450038,V102
KR5117490412,F103
KR5142490041,V102
KR5114490448,C101
KR5113459003,N144
KR5011410012,C103
KR5114490285,V102
KR5114490187,D102
KR5153450530,V101
KR510906162M,P101
KR5114450355,M109
KR5114450310,C101
KR513506204M,V101
KR510102004M,P102
KR510902407M,C103
KR5127450007,V101
KR5153450343,G118
KR5153450670,W116
KR5131450156,M109
KR5156490075,C103
KR5114430040,C101
KR5170651013,M111
KR5111430041,C101
KR5010201502,C103
KR5114450092,M109
KR5536601001,D102
KR5125490017,D106
KR5110450142,C103
KR5153460004,V102
KR5174450040,P101
KR510302038M,M111
KR5153400080,N177
KR5113450192,V102
KR5153601074,V101
KR5114490399,C101
KR510903118M,G110
KR5113490233,C101
KR5117420023,M111
KR518104062M,D102
KR515302032M,W101
KR5133430010,V101
KR5127430081,M109
KR5124471001,D106
KR5153450127,M111
KR5137470149,C101
KR5127470073,D106
KR5113456010,V102
KR5114430020,IND
KR510504019M,G115
KR5153490485,M111
KR5114450348,D102
KR5172430051,C101
KR5113490048,V102
KR5153601071,C101
KR5123490024,G110
KR5117490064,N177
KR513502164M,M111
KR5010151104,C103
KR511001009M,M111
KR5153450658,P101
KR5127490259,G115
KR5114420105,C103
KR5153430240,M109
KR5154651002,D105
KR510902132M,M111
KR5133450058,M109
KR5125601011,C101
KR5170651008,M111
KR5153450314,C101
KR5159651003,M109
KR5114490181,M111
KR5129490011,C103
KR5133490001,V102
KR5113420007,C102
KR518105040M,W101
KR5120920057,C102
KR5111490010,M120
KR5127450074,P104
KR5127470085,D102
KR5181450019,G110
KR5110450103,C101
KR5129490064,C103
KR5153400069,W101
KR5114470050,CHN
KR5152451001,F103
KR5133601006,C101
KR5127490288,N177
KR5127490371,M109
KR5114490253,V102
KR5557450037,D106
KR5153470081,M109
KR5114440003,C101
KR5153400069,M109
KR5122420001,M111
KR5129450061,P101
KR510902038M,W121
KR5131470010,S107
KR5148490130,V102
KR5134420000,M109
KR5131450187,C103
KR5149450085,M111
KR5153450633,M111
KR5139530030,C101
KR5113490208,W101
KR5132490001,V101
KR5113490129,C103
KR511702034M,C103
KR5120470010,S104
KR510902539M,C101
KR5010201113,C101
KR5144492063,W101
KR510903030M,V103
KR5153460003,M111
KR5147450052,D102
KR518102085M,C103
KR510902758M,V102
KR5114450351,M111
KR5119470015,V103
KR5110420109,C101
KR5137470081,V101
KR5110651012,M111
KR5153570080,W132
KR513509063M,V103
KR510902899M,D106
KR5153420274,V102
KR5153450396,M109
KR5129450150,M111
KR5110501001,M111
KR5144490054,M106
KR510902904M,D102
KR5129670002,W104
KR5148490034,G118
KR5117490413,C101
KR5153490719,C103
KR513502018M,C103
KR5142420014,W118
KR517602029M,C101
KR5153450200,D102
KR511X450009,C101
KR5127450337,N135
KR518104016M,M111
KR5127420046,P121
KR5133420010,M111
KR5152430109,V103
KR517509072M,F101
KR517609071M,M109
KR5153450390,C103
KR5133530018,C101
KR5123490029,S121
KR512603007M,C103
KR5114460007,C103
KR510902212M,M111
KR5117490122,D106
KR5156490065,W147
KR510902873M,N156
KR513502137M,C101
KR513509002M,C103
KR512502002M,D102
KR5114440052,V103
KR5129450045,C103
KR5132450011,N121
KR5153450854,V102
KR5116430008,F103
KR510909160M,M111
KR5113490038,M112
KR5020251007,V101
KR5148651025,C103
KR5129450043,D102
KR5127490197,W101
KR513G450006,M109
KR5153450530,C101
KR5144450092,V101
KR513502184M,C103
KR515009098M,JPN
KR5114601173,D102
KR5119450167,D106
KR5118490032,V101
KR5143450021,D102
KR5149420002,D102
KR5153460006,W101
KR5022410020,C103
KR5185450009,M109
KR513806004M,S120
KR5016410008,D102
KR5187450061,C101
KR5134490096,N177
KR517509071M,M109
KR5148490137,F101
KR5153490532,M112
KR5111450015,V102
KR5137440013,V101
KR5194450033,F101
KR5142450028,N109
KR5152430102,D102
KR5127430002,C101
KR5114450189,M111
KR5127450170,F103
KR5049430004,F103
KR5114450413,V102
KR5153470046,C101
KR5131450022,N156
KR5116430050,D102
KR510909193M,M112
KR5027101405,E102
KR5129450150,C103
KR5151450045,V101
KR5113458005,W101
KR518104094M,V101
KR5125450001,P102
KR5174450003,V102
KR5153430098,C101
KR5114490329,W101
KR5133400000,M109
KR517509010M,C103
KR5133530010,N122
KR5114420167,F103
KR518104120M,M111
KR5113450160,M109
KR513702014M,C101
KR5137470072,C103
KR5114601027,M111
KR5127490185,F103
KR5117450025,M111
KR5156490010,M120
KR5127490125,C101
KR5157480011,V102
KR5181450037,M112
KR512002065M,C103
KR5127471010,V103
KR5134490031,M111
KR5148490032,D102
KR5119430026,D102
KR5113456002,C103
KR5117490020,V102
KR5153490031,N125
KR5189450016,M111
KR5153490676,D102
KR5153400074,W101
KR5149651004,D105
KR5119520011,F103
KR513706040M,C101
KR5142450038,V102
KR512F490003,V103
KR5151470025,N115
KR5127420137,C101
KR514909002M,M112
KR5144450041,M111
KR5148450040,D102
KR5114420166,C103
KR5114490349,C103
KR510906161M,W101
KR5131450090,V102
KR5147490042,T230
KR5116430040,D102
KR5182490100,W101
KR510902718M,C103
KR5120491001,T255
KR511509027M,D106
KR5127450020,G118
KR5127450071,C103
KR510902950M,G118
KR5144450001,D102
KR5153420038,D102
KR5153450462,C103
KR5131450011,S118
KR5144492104,D106
KR5117490083,M106
KR5157480012,N138
KR5185431000,V101
KR5153680015,S120
KR5143490021,D102
KR517602037M,O131
KR510503003M,R105
KR510902604M,C103
KR510901133M,C101
KR5123490146,M111
KR5137450018,V103
KR5153420266,D102
KR5151490008,C101
KR5144492041,C103
KR5116470021,C103
KR510903118M,D106
KR510902601M,W102
KR518101010M,V101
KR5117450025,CHN
KR5142450031,D102
KR5123450090,M111
KR5114492005,D102
KR5159490059,V103
KR5010151204,C103
KR511X450003,D102
KR5142450029,G118
KR511502044M,D106
KR5137470149,F103
KR5114470137,G118
KR5114490021,M109
KR5113490158,N177
KR5125450088,V101
KR512804030M,D102
KR510902163M,D105
KR5148490035,D102
KR5144450114,C103
KR5117490065,M112
KR5170420038,V102
KR5143651002,V103
KR5114420122,M109
KR5127450076,P104
KR5127490400,M111
KR5148420090,M111
KR5149490018,G110
KR5152601022,V101
KR5153490677,D106
KR5114440060,D102
KR5170651111,V101
KR5157450100,D102
KR5113490039,W101
KR5144492063,C103
KR5125450006,M111
KR5114450222,D106
KR5114490267,G115
KR510902609M,D102
KR5153450153,C103
KR5123651022,C101
KR5138590027,P101
KR5148000013,M109
KR553504002M,R105
KR5117450022,C103
KR5153460004,M111
KR510902489M,N122
KR5120420034,C103
KR5113450183,M109
KR5119450081,CHN
KR5152450004,N142
KR5160420007,D106
KR5127470091,C101
KR5116420029,C103
KR5153450584,M111
KR5181490050,G118
KR5127490278,D106
KR513509012M,M109
KR510902252M,V103
KR5153450157,C101
KR513702045M,M111
KR5181490234,C101
KR5153470241,G118
KR5187450061,G110
KR5075410030,C103
KR5149420038,C103
KR5129530010,G115
KR5139490008,F103
KR510904050M,D105
KR5110450132,D102
KR510902038M,C103
KR5117420088,V101
KR5113490066,M106
KR5153490147,W101
KR5153470244,W101
KR5117450032,CHN
KR5127490279,M109
KR512009021M,D102
KR516002008M,M111
KR510902062M,V103
KR5117490201,W101
KR516003010M,M109
KR5116450038,F101
KR5129450176,D102
KR5153451009,F103
KR5127450332,C101
KR5127450033,M109
KR5113490186,N177
KR511804008M,C103
KR5114420159,F103
KR510902839M,C101
KR5127420145,C103
KR5131450026,N156
KR5113600016,C101
KR5113450298,M111
KR5114450305,C101
KR5131490043,V103
KR5153490308,W101
KR5144530021,C103
KR518102053M,M111
KR517509054M,D102
KR5111490047,M112
KR5113450242,N136
KR510902143M,C103
KR5187550010,C103
KR5153470066,D102
KR5153490707,N176
KR5147430036,C103
KR5111470020,V101
KR5139430034,V101
KR5143651004,C103
KR5148490088,M111
KR5127450302,C101
KR5118420061,M111
KR5170470000,V102
KR5170490095,M109
KR510903027M,V103
KR5170490036,M112
KR5127490297,F103
KR5157450139,D102
KR5127450131,P102
KR5153651003,C101
KR5117490175,G110
KR5117490100,M111
KR5127490405,C103
KR5110501007,M109
KR5127450437,USA
KR517609077M,F103
KR5129490100,V103
KR5153450835,M111
KR5159450018,M109
KR5187450010,M109
KR5114450662,G118
KR5129420031,G115
KR5116430027,C103
KR510902655M,M111
KR5114490049,M111
KR5153651036,V102
KR5114450545,D102
KR5144450015,D102
KR5113456013,N152
KR5153490312,V103
KR5153450585,W104
KR5129490054,D102
KR5113490129,M106
KR5127420138,C103
KR5114450425,V102
KR5113450081,C103
KR5142490093,D102
KR5181490091,M109
KR5182490099,F103
KR511X450006,M111
KR5117490122,D102
KR5153470240,M111
KR5148490200,G118
KR5153450947,C101
KR5049430004,C101
KR510902739M,W120
KR5153400021,D102
KR5172490026,N167
KR553094501M,C103
KR5127400015,V103
KR5114450083,N122
KR5147450016,D102
KR510906099M,C101
KR5153490603,M111
KR5153480006,G110
KR513102120M,C101
KR517609081M,G118
KR5159450038,D102
KR5153420289,D102
KR510502053M,M111
KR517509027M,D102
KR5127490117,C103
KR5178430001,C103
KR510904122M,V102
KR517302084M,C101
KR5127651009,M111
KR5127651004,G118
KR5170450016,C101
KR5114450628,USA
KR5114450547,W101
KR5117490215,D106
KR510902499M,CHN
KR5151450087,N144
KR5113450300,USA
KR5153470060,M109
KR518104057M,V101
KR5117490411,M111
KR5148651011,D105
KR5123490030,S119
KR5147450101,M111
KR5129490044,T230
KR5113490057,W101
KR5114420135,D102
KR510902605M,JPN
KR5153450837,D102
KR5123651002,C103
KR5153490618,M111
KR518102069M,C103
KR5123420045,M111
KR5180450025,F103
KR5114450511,G118
KR5134530051,V103
KR5127490076,D106
KR513504001M,C103
KR512301006M,D102
KR5170420020,N125
KR5153400071,C101
KR5127420087,V101
KR5151450086,W101
KR5117472003,D106
KR510909105M,M111
KR5117490144,C103
KR5123420017,M109
KR5133400020,M109
KR5153470120,V102
KR5153490400,C101
KR510902816M,V102
KR5114420014,C103
KR5170420010,W104
KR5170490078,M111
KR516003013M,V101
KR518102055M,C103
KR5170651118,M109
KR5185450036,W101
KR5119420021,D102
KR5113490279,C103
KR5143651001,W108
KR5114450629,D102
KR5114490349,W101
KR5153450558,F101
KR5127490273,C101
KR5170490002,C103
KR5138590021,V102
KR5110601021,C103
KR5113450195,M109
KR5153490565,N143
KR5133601851,D105
KR5113601004,C103
KR5114800007,D106
KR5110430037,C103
KR5124471002,D102
KR5114470156,G118
KR5127490225,V103
KR5139490022,M109
KR5125490037,D102
KR5153450310,D102
KR510902476M,M111
KR5153450336,CHN
KR5157450101,M109
KR5153430200,D102
KR5127651014,D102
KR5117490157,N176
KR5151450083,V102
KR513304026M,D102
KR5144490200,V102
KR513509003M,USA
KR510506041M,CHN
KR5131420001,D106
KR511X490001,C103
KR5010201303,V101
KR5127400011,V103
KR5127490156,D106
KR513502176M,G118
KR5114450607,C103
KR5172430056,C101
KR5146450002,V101
KR5138490120,M109
KR5153450202,M109
KR5114470051,D102
KR5145430031,C101
KR5114470152,M111
KR5114450665,F101
KR5172440001,M109
KR5138490085,D106
KR5144490025,G115
KR5114490329,D102
KR5181490151,M111
KR510902627M,M109
KR5147450053,N156
KR5113450087,F103
KR5110490052,S121
KR5114490235,M106
KR5113450194,VNM
KR5139490030,M111
KR5123450062,C101
KR5157480022,T240
KR5153420106,C101
KR5153490490,V102
KR5153451009,G115
KR5114420061,D102
KR5113440032,VNM
KR5117451001,D102
KR5153470068,M111
KR5114490369,M111
KR5114450132,C101
KR5182490109,C101
KR5157450018,N167
KR5131450014,C101
KR5153450221,M109
KR5170490077,C103
KR5120761009,V101
KR5114450322,C101
KR5144470104,V102
KR5113420013,M109
KR5117490128,V102
KR5114490066,D106
KR5138450026,P104
KR5137450050,M111
KR510902310M,C103
KR5153400055,N177
KR5153651034,D102
KR5117490006,W101
KR5110420020,P122
KR5123490114,D102
KR5114450362,D102
KR5119450088,D102
KR510903038M,V103
KR5151430011,M111
KR513503015M,M109
KR5153450638,M111
KR5131440027,C103
KR510902919M,M109
KR5153451119,C103
KR5116430077,D102
KR5144450052,G115
KR5181490113,G118
KR5116590007,G115
KR5132490003,C102
KR5153450107,C103
KR518104067M,G115
KR5153490061,M112
KR5114450252,D102
KR5120470048,V101
KR5153430220,C101
KR5114450311,C103
KR5153450008,V102
KR515009099M,G118
KR5153430111,V101
KR5144470206,C103
KR5153420012,M111
KR510902019M,D105
KR5153430241,G115
KR5152430093,G110
KR513503017M,M111
KR5123420043,C103
KR5117651016,C103
KR513102011M,D102
KR5119450063,D102
KR5153470112,M109
KR5174430010,V101
KR5172450017,D102
KR5153520021,C103
KR5127490321,C102
KR510506032M,D102
KR5010201124,D102
KR5120530037,M109
KR5171490002,D102
KR5127420131,C103
KR5127490319,C101
KR510509012M,C103
KR5110450123,M111
KR513702054M,G118
KR5138490114,D102
KR513706033M,D102
KR5133430002,M111
KR5153420164,C103
KR510902684M,C103
KR5111450016,C101
KR5010201402,V101
KR513506015M,C102
KR5153470112,C101
KR5131490072,F103
KR5122421000,C101
KR5127470013,C103
KR510902596M,P103
KR5131530021,F103
KR5144420047,W101
KR5147430074,C103
KR5153450908,G110
KR5114490329,C101
KR5114450305,N122
KR5157450100,C103
KR5149420025,C101
KR5117430315,D106
KR5114430066,V103
KR5114450038,M111
KR5175470011,S104
KR5131601008,V101
KR5110501009,C101
KR5127450325,N135
KR5053410037,G115
KR5117651014,G118
KR5127490382,M111
KR5153450010,C103
KR5113450250,C101
KR510909158M,D102
KR5110530021,C103
KR515009078M,D102
KR5153420070,D102
KR5137450016,C103
KR5153490443,M106
KR5157450016,G110
KR5153651006,D102
KR5111420031,D102
KR5144490084,M111
KR5157480021,F103
KR5010201201,D102
KR5113420012,V101
KR5113470031,C101
KR517309010M,D106
KR511302002M,M111
KR5153490447,M112
KR5156430010,C101
KR5125601016,C101
KR517509065M,G118
KR5134420000,D102
KR5114490482,C101
KR513704009M,R106
KR5153450470,M111
KR5153450176,V102
KR5114450059,C103
KR512509033M,M109
KR5185490028,V102
KR5178490016,C103
KR5153450660,G115
KR5153420013,N135
KR5153470114,C103
KR5153451125,C103
KR5148651027,C101
KR5180450025,P104
KR5172440031,G115
KR5113601002,D102
KR5117430028,M109
KR5114450628,G118
KR5153450785,D102
KR5129450167,D106
KR5127450195,D102
KR5139450058,P101
KR5144470105,G115
KR510902627M,C101
KR513509062M,M109
KR5157480023,M109
KR5153450937,V101
KR5129490072,F103
KR5114490287,M111
KR5118450071,M109
KR5149490038,C101
KR5182490037,F101
KR5153450292,D102
KR517502001M,D105
KR5181450010,G118
KR5153400054,W101
KR5153490568,N130
KR5114450426,G118
KR5153480077,G110
KR5114460006,D106
KR5519601003,C101
KR517609083M,D102
KR510902247M,D102
KR5153450800,F101
KR5127490136,C103
KR5118440001,D102
KR5153400076,D106
KR5134401003,W101
KR5176450022,M111
KR5116450068,M111
KR5114450471,D106
KR5152430132,M105
KR5114530020,C101
KR5151430000,R105
KR5148000012,V101
KR5144450112,V102
KR5113490011,M112
KR5149450050,W101
KR5161420000,C101
KR5170420051,C101
KR5127450427,D106
KR5153420061,P121
KR5127450227,M111
KR5113450251,M109
KR5139601011,V102
KR512102045M,C101
KR513509059M,M106
KR5114490095,C103
KR510902027M,C101
KR5133400007,D106
KR510909233M,D106
KR5159450019,C101
KR518105012M,C101
KR5010201234,C103
KR5114450014,C101
KR5131490050,C101
KR5127450459,M111
KR5161450009,D102
KR5172490059,F103
KR510902837M,M111
KR5127490361,N177
KR510903071M,M109
KR5117420058,C103
KR5187450006,C101
KR510902755M,D102
KR5114450281,C101
KR510902609M,C103
KR5149490000,M111
KR5174530011,P102
KR5181450043,F101
KR5153400040,M106
KR5153450251,C103
KR5148450027,M109
KR514804014M,M111
KR511702020M,N107
KR518105013M,M109
KR510902976M,V102
KR5127490091,V102
KR5125450135,C102
KR5127490249,V102
KR5143800002,D102
KR5029410011,E102
KR5142420023,M109
KR510902593M,G118
KR5149450038,F103
KR5039410020,C101
KR5144420017,D102
KR5113450141,C101
KR5116450022,V101
KR5153450367,G118
KR5117420066,M111
KR5131420002,M111
KR5114490139,G115
KR5119450088,M109
KR5159651019,W101
KR511141117M,C101
KR5123450070,P101
KR5029101414,V101
KR5120490084,N177
KR5153490150,W101
KR5181490110,C103
KR5134490049,C103
KR510902140M,D106
KR5131450157,C101
KR5113601005,C103
KR516003013M,C101
KR5117490001,M121
KR5153491006,W101
KR5148800018,W122
KR5131450155,G118
KR5117471004,G110
KR5129490036,N177
KR5153490569,M112
KR511106023M,Q111
KR5172430057,C101
KR510903104M,P101
KR511015511M,D102
KR5131430017,M111
KR5127420098,M111
KR5172420020,D102
KR518102023M,V101
KR5144492184,M111
KR5127490288,D102
KR5127490236,D106
KR5117430028,C101
KR5131450042,M109
KR510902406M,C101
KR5139430020,C101
KR5118420061,C103
KR5111490020,M111
KR5161450006,C101
KR5149450030,D102
KR5110450201,V102
KR5114450250,V102
KR5185450011,M111
KR5172420011,M109
KR5123450138,W101
KR5114450364,M111
KR511806011M,V101
KR5114470080,V101
KR5172550111,C103
KR5116601007,C101
KR510909003M,D105
KR5138590028,F103
KR5153450421,C103
KR5129490062,W101
KR5120450015,V101
KR5153490666,C103
KR5153490711,D102
KR5114490170,M111
KR5174450043,C101
KR5153420051,D102
KR5133420015,M111
KR513509015M,C103
KR5137450010,M109
KR510902646M,C103
KR5153490618,CHN
KR5157450120,P103
KR5122470010,C101
KR5127420141,V102
KR5113490082,M106
KR5114490150,M112
KR5118430033,W101
KR5129490046,C101
KR5144490057,W101
KR5120420036,F103
KR5133450033,G118
KR517309004M,M120
KR5114450642,N142
KR5153450147,D102
KR5174450012,V101
KR5181450023,V103
KR5113490062,M106
KR5144490024,C103
KR5170490004,C101
KR5118420071,C103
KR5127450330,W101
KR5148490139,F103
KR512002057M,D102
KR5114490367,F103
KR5153480001,N125
KR5127490040,C101
KR5129490028,N109
KR5120530020,V101
KR5152450039,D102
KR5142490065,D102
KR5175450035,M111
KR5123490023,D102
KR5170490005,M112
KR510904150M,S108
KR5153450276,E102
KR5114490492,D106
KR5153460005,C101
KR5127490237,M106
KR5157530012,D102
KR5010201005,C103
KR5117490028,V102
KR5149490087,W101
KR510902632M,C103
KR513506204M,M112
KR5142490144,F103
KR511102080M,M104
KR5120490075,M106
KR5111430031,P101
KR515009062M,C103
KR5114530010,V101
KR5139251002,V101
KR510902543M,BRA
KR518105027M,G115
KR5111450024,V101
KR5151601012,C103
KR5114450255,M101
KR5153450292,N156
KR5139430019,N139
KR517509071M,G110
KR5116450040,P104
KR5153420174,M111
KR5113450401,F103
KR5194450051,F101
KR5138490046,M111
KR5138490055,D106
KR5116420000,V101
KR5113490073,W101
KR5153400054,V103
KR513501002M,C101
KR5117490181,D102
KR5138490056,C103
KR5134450024,M112
KR5113450055,C103
KR5137470040,M111
KR513502004M,D102
KR5153490316,M106
KR5114420120,USA
KR5148490160,M111
KR510909156M,W109
KR5153490619,M109
KR5156430010,D102
KR5110450104,M111
KR5114490112,D102
KR513506091M,D105
KR5114450663,D102
KR5187550012,W101
KR5148450034,M109
KR510902152M,V103
KR5138490059,M112
KR5151450093,M109
KR510902838M,C103
KR5127450350,D102
KR5114490439,C101
KR5113450297,W101
KR510906170M,P101
KR5120450051,C101
KR5153490594,C103
KR5144420038,G110
KR5120450014,C101
KR5131450047,D102
KR5127470084,V102
KR5139490021,C103
KR510902476M,C101
KR5114450643,D102
KR5123450115,G115
KR5114490160,M109
KR5153460000,M109
KR518104048M,M111
KR5136450025,P103
KR510901001M,D102
